Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Forest Able,G,24,SYR,1,,1.0,0.0,2.0,.000,,,,0.0,2.0,.000,.000,0.0,0.0,,,,1.0,1.0,,,,1.0,0.0,ablefo01
2,Paul Arizin*,SF,28,PHW,71,,39.0,8.6,20.4,.422,,,,8.6,20.4,.422,.422,8.3,10.0,.829,,,7.9,2.1,,,,3.9,25.6,arizipa01
3,Bob Armstrong,C-F,23,PHW,19,,5.8,0.6,1.9,.297,,,,0.6,1.9,.297,.297,0.3,0.6,.500,,,2.1,0.2,,,,0.7,1.5,armstbo01
4,Jim Baechtold,SF,29,NYK,45,,10.3,1.7,4.4,.381,,,,1.7,4.4,.381,.381,1.5,2.0,.750,,,1.8,0.7,,,,0.9,4.8,baechji01
5,John Barber,F,29,STL,5,,3.8,0.4,1.6,.250,,,,0.4,1.6,.250,.250,0.6,1.2,.500,,,1.2,0.0,,,,0.8,1.4,barbejo01
6,Ernie Beck,SG,25,PHW,72,,24.2,2.7,7.1,.384,,,,2.7,7.1,.384,.384,1.5,2.2,.707,,,4.3,2.6,,,,2.2,7.0,becker01
7,Irv Bemoras,SF,26,STL,62,,15.9,2.0,6.2,.322,,,,2.0,6.2,.322,.322,1.1,1.7,.680,,,2.0,0.7,,,,1.2,5.1,bemorir01
8,Gary Bergen,C,24,NYK,6,,6.7,0.5,1.8,.273,,,,0.5,1.8,.273,.273,0.3,0.3,1.000,,,1.3,0.2,,,,0.7,1.3,bergega01
9,Al Bianchi,PG,24,SYR,68,,23.2,2.9,8.3,.351,,,,2.9,8.3,.351,.351,2.4,3.5,.690,,,3.3,1.6,,,,2.9,8.3,biancal01
10,Carl Braun*,PG,29,NYK,72,,32.6,5.3,13.8,.381,,,,5.3,13.8,.381,.381,3.4,4.2,.809,,,3.6,3.6,,,,2.7,13.9,braunca01
11,Bob Burrow,C,22,ROC,67,,15.3,2.0,5.5,.374,,,,2.0,5.5,.374,.374,1.9,3.1,.616,,,4.4,0.6,,,,2.5,6.0,burrobo01
12,Nat Clifton*,PF,34,NYK,71,,31.4,4.3,11.5,.377,,,,4.3,11.5,.377,.377,2.1,3.1,.673,,,7.8,2.3,,,,3.4,10.7,cliftna01
13,Jack Coleman,PF,32,STL,72,,29.8,4.4,10.8,.408,,,,4.4,10.8,.408,.408,1.7,2.2,.764,,,9.0,2.2,,,,3.3,10.5,colemja01
14,Ed Conlin,SG,23,SYR,71,,31.7,4.7,12.6,.374,,,,4.7,12.6,.374,.374,4.0,5.2,.769,,,6.1,2.9,,,,2.4,13.4,conlied01
15,Larry Costello*,PG,25,PHW,72,,29.3,2.6,6.9,.374,,,,2.6,6.9,.374,.374,2.4,3.1,.788,,,4.5,3.3,,,,2.5,7.6,costela01
16,Bob Cousy*,PG,28,BOS,64,,36.9,7.5,19.8,.378,,,,7.5,19.8,.378,.378,5.7,6.9,.821,,,4.8,7.5,,,,2.1,20.6,cousybo01
17,Walt Davis,PF,26,PHW,65,,19.2,2.7,6.7,.407,,,,2.7,6.7,.407,.407,1.1,1.6,.698,,,4.7,0.8,,,,3.6,6.6,daviswa01
18,George Dempsey,PG,27,PHW,71,,16.2,1.9,4.3,.444,,,,1.9,4.3,.444,.444,0.8,1.4,.539,,,3.5,1.9,,,,1.5,4.5,dempsge01
19,Corky Devlin,SG,25,FTW,71,,17.5,2.7,7.1,.378,,,,2.7,7.1,.378,.378,1.4,2.0,.678,,,2.1,2.0,,,,1.6,6.7,devlico01
20,Walter Dukes,C,26,MNL,71,,26.3,3.2,8.8,.364,,,,3.2,8.8,.364,.364,3.7,5.4,.689,,,11.2,0.8,,,,3.8,10.1,dukeswa01
21,Ray Felix,C,26,NYK,72,,22.5,4.1,9.8,.416,,,,4.1,9.8,.416,.416,3.8,5.2,.747,,,8.2,0.5,,,,3.9,12.0,felixra01
22,Ed Fleming,SG,23,ROC,51,,18.2,2.1,7.1,.299,,,,2.1,7.1,.299,.299,2.7,3.7,.728,,,3.6,1.6,,,,1.8,7.0,flemied01
23,Larry Foust,C,28,FTW,61,,25.1,4.0,10.1,.394,,,,4.0,10.1,.394,.394,4.5,6.2,.718,,,9.1,1.2,,,,3.6,12.4,foustla01
24,Harry Gallatin*,PF,29,NYK,72,,27.0,4.6,11.3,.406,,,,4.6,11.3,.406,.406,5.8,7.2,.800,,,10.1,1.2,,,,2.8,15.0,gallaha01
25,Dick Garmaker,SG,24,MNL,72,,33.4,5.6,14.1,.400,,,,5.6,14.1,.400,.400,5.1,6.0,.839,,,4.7,2.6,,,,2.8,16.3,garmadi01
26,Jack George,SG,28,PHW,67,,33.3,3.8,11.2,.337,,,,3.8,11.2,.337,.337,3.0,4.4,.683,,,4.7,4.6,,,,2.5,10.5,georgja01
27,Joe Graboski,PF,27,PHW,72,,34.7,5.4,15.5,.349,,,,5.4,15.5,.349,.349,3.5,4.5,.783,,,8.5,1.9,,,,3.4,14.3,grabojo01
28,Si Green,SG,23,ROC,13,,32.5,3.8,11.0,.350,,,,3.8,11.0,.350,.350,3.8,5.3,.710,,,5.2,3.6,,,,2.8,11.5,greensi01
29,Richie Guerin*,SG,24,NYK,72,,24.9,3.6,9.7,.368,,,,3.6,9.7,.368,.368,2.5,4.1,.620,,,4.6,2.5,,,,2.6,9.7,gueriri01
30,Cliff Hagan*,SF,25,STL,67,,14.5,2.0,5.5,.361,,,,2.0,5.5,.361,.361,1.5,2.2,.690,,,3.7,1.3,,,,2.5,5.5,hagancl01
31,Alex Hannum*,PF,33,TOT,59,,10.9,1.3,3.8,.345,,,,1.3,3.8,.345,.345,0.6,0.9,.661,,,2.7,0.5,,,,2.3,3.2,hannual01
31,Alex Hannum*,PF,33,FTW,22,,10.0,1.3,3.5,.382,,,,1.3,3.5,.382,.382,0.5,0.9,.600,,,2.5,0.5,,,,2.1,3.2,hannual01
31,Alex Hannum*,PF,33,STL,37,,11.4,1.3,4.0,.327,,,,1.3,4.0,.327,.327,0.7,1.0,.694,,,2.8,0.5,,,,2.4,3.3,hannual01
32,Bob Harrison,SG,29,TOT,66,,27.4,3.7,9.5,.386,,,,3.7,9.5,.386,.386,1.4,2.0,.715,,,2.4,2.4,,,,3.3,8.8,harribo02
32,Bob Harrison,G,29,STL,10,,4.8,1.1,3.1,.355,,,,1.1,3.1,.355,.355,0.3,0.8,.375,,,0.6,0.8,,,,1.9,2.5,harribo02
32,Bob Harrison,SG,29,SYR,56,,31.5,4.1,10.7,.388,,,,4.1,10.7,.388,.388,1.6,2.2,.738,,,2.7,2.7,,,,3.6,9.9,harribo02
33,Tom Heinsohn*,PF,22,BOS,72,,29.9,6.2,15.6,.397,,,,6.2,15.6,.397,.397,3.8,4.8,.790,,,9.8,1.6,,,,4.2,16.2,heinsto01
34,Dick Hemric,PF,23,BOS,67,,15.7,1.6,4.7,.344,,,,1.6,4.7,.344,.344,2.2,3.1,.695,,,4.5,0.6,,,,1.5,5.4,hemridi01
35,Larry Hennessy,SG,27,TOT,21,,17.8,2.7,8.3,.320,,,,2.7,8.3,.320,.320,1.1,1.5,.719,,,2.1,1.3,,,,1.3,6.4,hennela01
35,Larry Hennessy,SG,27,PHW,2,,12.5,1.0,3.5,.286,,,,1.0,3.5,.286,.286,0.0,0.0,,,,0.5,1.5,,,,0.0,2.0,hennela01
35,Larry Hennessy,SG,27,SYR,19,,18.3,2.8,8.8,.321,,,,2.8,8.8,.321,.321,1.2,1.7,.719,,,2.3,1.3,,,,1.5,6.9,hennela01
36,Lew Hitch,PF,27,TOT,68,,16.7,1.6,4.4,.375,,,,1.6,4.4,.375,.375,0.9,1.3,.716,,,3.7,0.6,,,,1.5,4.2,hitchle01
36,Lew Hitch,PF,27,ROC,30,,18.5,1.8,4.8,.372,,,,1.8,4.8,.372,.372,1.2,1.7,.725,,,4.0,0.5,,,,1.8,4.8,hitchle01
36,Lew Hitch,PF,27,PHW,38,,15.2,1.5,4.0,.377,,,,1.5,4.0,.377,.377,0.7,1.0,.703,,,3.5,0.7,,,,1.3,3.7,hitchle01
37,Joe Holup,SF,22,SYR,71,,18.1,2.3,6.9,.329,,,,2.3,6.9,.329,.329,2.9,3.6,.806,,,3.9,1.2,,,,2.5,7.4,holupjo01
38,Bob Hopkins,C,22,SYR,62,,12.3,2.1,5.5,.379,,,,2.1,5.5,.379,.379,1.5,2.0,.746,,,3.8,0.4,,,,1.7,5.7,hopkibo01
39,Bob Houbregs*,C,24,FTW,60,,26.5,4.2,9.8,.432,,,,4.2,9.8,.432,.432,2.8,3.9,.714,,,6.7,1.9,,,,2.0,11.2,houbrbo01
40,Mel Hutchins,PF,28,FTW,72,,36.8,5.1,13.2,.387,,,,5.1,13.2,.387,.387,2.1,2.9,.738,,,7.9,2.9,,,,2.5,12.4,hutchme01
41,Neil Johnston*,C,27,PHW,69,,36.7,7.5,16.9,.447,,,,7.5,16.9,.447,.447,7.8,9.4,.826,,,12.4,2.9,,,,3.3,22.8,johnsne01
42,Phil Jordon,C-F,23,NYK,9,,10.1,2.0,5.4,.367,,,,2.0,5.4,.367,.367,0.9,1.3,.667,,,3.8,0.2,,,,1.7,4.9,jordoph01
43,Ed Kalafat,SF,24,MNL,65,,24.9,2.7,7.8,.351,,,,2.7,7.8,.351,.351,3.0,4.6,.661,,,6.5,1.6,,,,3.7,8.5,kalafed01
44,Billy Kenville,SG,26,FTW,71,,24.0,2.9,8.6,.336,,,,2.9,8.6,.336,.336,2.5,3.1,.798,,,4.6,2.4,,,,2.4,8.2,kenvibi01
45,Red Kerr,C,24,SYR,72,,30.4,4.6,11.5,.403,,,,4.6,11.5,.403,.403,3.1,4.3,.719,,,11.2,1.3,,,,2.6,12.4,kerrre01
46,Hal Lear,G,22,PHW,3,,4.7,0.7,2.0,.333,,,,0.7,2.0,.333,.333,0.0,0.0,,,,0.3,0.3,,,,1.0,1.3,learha01
47,Slick Leonard*,PG,24,MNL,72,,27.0,4.2,12.0,.349,,,,4.2,12.0,.349,.349,2.6,3.3,.772,,,3.1,2.3,,,,1.9,11.0,leonasl01
48,Earl Lloyd*,SF,28,SYR,72,,27.3,3.6,9.5,.373,,,,3.6,9.5,.373,.373,1.9,2.5,.749,,,6.0,1.6,,,,3.9,9.0,lloydea01
49,Jim Loscutoff,SF,26,BOS,70,,31.7,4.4,12.7,.345,,,,4.4,12.7,.345,.345,1.9,2.7,.706,,,10.4,1.3,,,,3.5,10.6,loscuji01
50,Clyde Lovellette*,C,27,MNL,69,,36.1,8.3,19.5,.426,,,,8.3,19.5,.426,.426,4.1,5.8,.717,,,13.5,2.0,,,,3.6,20.8,lovelcl01
51,Ed Macauley*,PF,28,STL,72,,35.9,5.8,13.7,.419,,,,5.8,13.7,.419,.419,5.0,6.7,.749,,,6.1,2.8,,,,2.9,16.5,macaued01
52,Tom Marshall,SF,26,ROC,40,,11.5,1.4,4.1,.344,,,,1.4,4.1,.344,.344,1.2,1.5,.810,,,2.1,0.8,,,,0.8,4.0,marshto01
53,Slater Martin*,PG,31,TOT,66,,36.4,3.7,11.2,.332,,,,3.7,11.2,.332,.332,3.5,4.4,.790,,,4.4,4.1,,,,2.9,10.9,martisl01
53,Slater Martin*,PG,31,NYK,13,,32.8,2.5,7.4,.344,,,,2.5,7.4,.344,.344,3.4,4.1,.830,,,3.2,3.0,,,,2.2,8.5,martisl01
53,Slater Martin*,PG,31,STL,53,,37.3,4.0,12.1,.330,,,,4.0,12.1,.330,.330,3.5,4.5,.782,,,4.6,4.3,,,,3.1,11.5,martisl01
54,Johnny McCarthy,PG,22,ROC,72,,21.7,2.4,6.4,.376,,,,2.4,6.4,.376,.376,1.8,2.7,.674,,,2.8,1.5,,,,1.8,6.6,mccarjo01
55,Dick McGuire*,PG,31,NYK,72,,16.5,1.9,5.1,.383,,,,1.9,5.1,.383,.383,1.5,2.3,.644,,,2.0,3.1,,,,1.4,5.3,mcguidi01
56,Jack McMahon,SG,28,STL,72,,32.6,3.3,10.1,.330,,,,3.3,10.1,.330,.330,2.0,3.1,.631,,,3.1,5.1,,,,3.0,8.6,mcmahja01
57,Chuck Mencel,PG,23,MNL,72,,25.7,3.4,9.6,.353,,,,3.4,9.6,.353,.353,2.5,3.3,.746,,,3.3,2.8,,,,1.3,9.2,mencech01
58,Vern Mikkelsen*,PF,28,MNL,72,,30.5,4.5,11.9,.377,,,,4.5,11.9,.377,.377,4.8,5.9,.807,,,8.8,1.7,,,,4.3,13.7,mikkeve01
59,Jackie Moore,SF,24,PHW,57,,7.0,0.8,1.9,.406,,,,0.8,1.9,.406,.406,0.6,0.8,.804,,,2.0,0.4,,,,1.3,2.2,mooreja01
60,Willie Naulls,PF,22,TOT,71,,25.0,4.1,11.5,.357,,,,4.1,11.5,.357,.357,1.9,2.7,.677,,,8.7,1.2,,,,2.6,10.1,naullwi01
60,Willie Naulls,F-C,22,STL,19,,23.1,4.1,11.1,.365,,,,4.1,11.1,.365,.365,2.2,3.2,.683,,,8.8,1.2,,,,3.0,10.3,naullwi01
60,Willie Naulls,PF,22,NYK,52,,25.8,4.2,11.7,.355,,,,4.2,11.7,.355,.355,1.8,2.6,.674,,,8.7,1.2,,,,2.5,10.1,naullwi01
61,Jack Nichols,PF,30,BOS,61,,22.5,3.2,8.8,.363,,,,3.2,8.8,.363,.363,1.8,2.2,.794,,,6.1,1.4,,,,3.0,8.2,nichoja01
62,Chuck Noble,SG,25,FTW,54,,23.3,3.7,10.3,.360,,,,3.7,10.3,.360,.360,1.4,1.9,.745,,,2.5,3.3,,,,3.0,8.8,noblech01
